Date,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AXFO.ST,BOL.ST,CAST.ST,ELUX-B.ST,ERIC,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,SAND.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2022-08-31,270.5978088378906,820.828369140625,203.1839904785156,102.51663208007812,91.25588989257812,288.791259765625,312.29705810546875,120.36913299560548,130.1307373046875,6.423598766326904,217.5563507080078,851.8568725585938,186.3779754638672,109.05741119384766,95.09954071044922,158.74371337890625,152.4499969482422,97.0914077758789,154.52842712402344,151.21762084960938,86.52301025390625,63.70242691040039,144.2268524169922,111.86052703857422,91.38231658935548,30.03736114501953,139.86917114257812
2022-09-30,263.868408203125,753.06982421875,196.62059020996097,98.80213165283205,87.26953125,228.9669952392578,315.024169921875,100.32763671875,111.8292999267578,4.9625115394592285,202.59991455078125,879.9379272460938,180.3111572265625,104.32445526123048,88.59172821044922,153.92587280273438,147.60000610351562,93.68366241455078,141.1998291015625,133.91270446777344,86.64470672607422,66.6409683227539,134.97406005859375,118.77598571777344,77.22449493408203,25.601293563842773,130.61508178710938
2022-10-31,257.8972473144531,879.3856811523438,209.09103393554688,111.2843780517578,100.07080078125,248.55516052246097,292.3439025878906,102.82445526123048,136.25999450683594,4.911452293395996,214.16131591796875,1025.006591796875,210.97442626953125,108.80831146240234,95.21941375732422,169.715576171875,136.5,103.32913970947266,159.75807189941406,122.87905883789062,94.51412200927734,74.66378021240234,143.55311584472656,133.17306518554688,72.8162612915039,23.379262924194336,149.38768005371094
2022-11-30,282.1609802246094,905.3607788085938,223.4367523193359,122.84156799316406,110.51554870605467,256.55548095703125,352.612548828125,104.12705993652344,148.52000427246094,5.616866588592529,234.5314178466797,1058.7435302734375,227.43475341796875,117.7262191772461,99.89476013183594,181.6096038818359,159.35000610351562,107.22650909423828,176.78904724121094,133.06396484375,97.1507797241211,76.84586334228516,155.72547912597656,136.8532257080078,77.45342254638672,23.733856201171875,158.625244140625
2022-12-31,285.383544921875,790.1285400390625,211.6004180908203,117.07801055908205,104.97842407226562,259.91925048828125,355.65777587890625,102.78375244140624,140.77999877929688,5.149529457092285,250.77243041992188,1007.5428466796876,203.44969177246097,108.6090316772461,98.82586669921876,178.4331512451172,143.1999969482422,109.36125183105467,174.3824920654297,124.4350814819336,97.3130340576172,76.44581604003906,142.96917724609375,143.40469360351562,71.01148223876953,22.108478546142575,155.7333526611328
2023-01-31,309.931640625,949.4638061523438,232.126708984375,117.30626678466795,103.693359375,244.4640960693359,424.9712829589844,118.00443267822266,147.55999755859375,5.08780574798584,250.2219085693359,1161.1448974609375,220.66249084472656,118.822265625,112.80799865722656,191.48257446289065,160.5500030517578,119.25155639648438,199.37359619140625,136.45892333984375,102.34297943115234,79.17343139648438,165.60708618164062,162.08856201171875,75.26716613769531,22.373842239379883,170.91172790527344
2023-02-28,326.9920959472656,957.4009399414062,241.30206298828125,118.58071899414062,104.5248794555664,227.91799926757812,391.01904296875,110.6084976196289,127.0199966430664,4.849728107452393,259.6728820800781,1256.799072265625,212.1031188964844,115.73339080810548,116.25950622558594,191.7191467285156,156.14999389648438,129.88607788085938,199.7438507080078,137.96780395507812,106.31825256347656,80.80998992919922,179.08204650878906,172.9268341064453,80.39067077636719,22.4318904876709,173.3491973876953
2023-03-31,350.40283203125,958.1943969726562,234.8698577880859,125.10513305664062,112.61322784423828,230.19081115722656,370.70220947265625,99.4939422607422,125.91999816894533,5.158346652984619,271.96832275390625,1377.4580078125,237.68716430664065,118.42369842529295,130.1536102294922,194.98382568359375,154.5,108.34284973144533,203.4462432861328,128.6787872314453,92.76985931396484,65.34626007080078,183.25926208496097,137.62159729003906,86.1567153930664,21.86798667907715,176.695556640625
2023-04-30,355.90008544921875,868.873291015625,230.70782470703125,140.85504150390625,124.0654067993164,234.98828125,332.8866271972656,102.71674346923828,154.5500030517578,4.9565935134887695,292.22796630859375,1354.8345947265625,244.45941162109375,116.43087005615234,131.96742248535156,207.9953765869141,167.85000610351562,112.23966217041016,192.9869842529297,134.87416076660156,94.51412200927734,71.78433990478516,172.39039611816406,152.26953125,90.91305541992188,23.684099197387695,174.1754608154297
2023-05-31,375.344482421875,861.9238891601562,230.0840606689453,151.50148010253906,130.21873474121094,216.31497192382812,313.2040100097656,99.94507598876952,142.89999389648438,4.658657073974609,271.2537536621094,1416.6019287109375,238.62026977539065,125.34877014160156,119.25318145751952,208.7997131347656,155.75,105.19879150390624,180.7378387451172,138.18719482421875,97.8162612915039,67.91866302490234,159.9239501953125,142.04693603515625,82.27652740478516,21.356931686401367,176.94859313964844
